DATE,LNS11000060
2018-11-01,104047
2018-12-01,104131
2019-01-01,104084
2019-02-01,104123
2019-03-01,104101
2019-04-01,103867
2019-05-01,103766
2019-06-01,103849
2019-07-01,103655
2019-08-01,104187
2019-09-01,104392
2019-10-01,104609
2019-11-01,104670
2019-12-01,104809
2020-01-01,104625
2020-02-01,104545
2020-03-01,103925
2020-04-01,100640
2020-05-01,101605
2020-06-01,102681
2020-07-01,102411
2020-08-01,102543
2020-09-01,101991
2020-10-01,102415
2020-11-01,102066
2020-12-01,102212
2021-01-01,102247
2021-02-01,102383
2021-03-01,102547
2021-04-01,102633
2021-05-01,102569
2021-06-01,102995
2021-07-01,103249
2021-08-01,103072
2021-09-01,102884
2021-10-01,103061
2021-11-01,103327
2021-12-01,103369
2022-01-01,104350
2022-02-01,104635
2022-03-01,104944
2022-04-01,104837
2022-05-01,105001
2022-06-01,104691
2022-07-01,104749
2022-08-01,105311
2022-09-01,105029
2022-10-01,104885
2022-11-01,104717
2022-12-01,104856
2023-01-01,105502
2023-02-01,106080
2023-03-01,106231
2023-04-01,106500
2023-05-01,106564
2023-06-01,106705
2023-07-01,106720
2023-08-01,106884
2023-09-01,106975
2023-10-01,106756
2023-11-01,106834
